sentence_id	words	labels
0	Since	O
0	1928	B-DATE
0	Mr	O
0	Joseph	B-PERSON
0	was	O
0	living	O
0	in	O
0	Holland	B-GPE
0	.	O
0	He	O
0	belonged	O
0	to	O
0	the	B-ORG
0	K.P.	I-ORG
0	Neederlande	I-ORG
0	p.1	O
0	3	O
0	6	O
0	and	O
0	knew	O
0	Dutch	B-LANGUAGE
0	perfectly	O
0	but	O
0	lost	O
0	his	O
0	job	O
0	getting	O
0	compensation	O
0	and	O
0	financial	O
0	help	O
0	later	O
0	again	O
0	when	O
0	he	O
0	needed	O
0	it	O
0	p.3	O
0	5	O
0	.	O
0	He	O
0	joined	O
0	the	O
0	Resistance	B-ORG
0	p.3	O
0	and	O
0	this	O
0	report	O
0	details	O
0	his	O
0	illegal	O
0	life	O
0	p.4	O
0	9	O
0	Report	O
0	includes	O
0	details	O
0	on	O
0	the	O
0	Pogrom	O
0	in	O
0	Amsterdam	B-GPE
0	in	O
0	February	B-DATE
0	1941	I-DATE
0	defence	O
0	at	O
0	the	O
0	next	O
0	attempt	O
0	a	O
0	number	O
0	of	O
0	young	O
0	Jews	O
0	were	O
0	arrested	O
0	deported	O
0	to	O
0	Mauthausen	B-CAMP
0	and	O
0	killed	O
0	reaction	O
0	of	O
0	the	O
0	Dutch	O
0	general	O
0	strike	O
0	paralysing	O
0	economic	O
0	life	O
0	in	O
0	Amsterdam	B-GPE
0	for	O
0	24	B-TIME
0	hours	I-TIME
0	p.1	O
0	2	O
0	.	O
0	Non	O
0	Jews	O
0	helping	O
0	Jews	O
0	7	O
0	one	B-TIME
0	night	I-TIME
0	the	O
0	typewriters	O
0	of	O
0	a	O
0	resistance	O
0	office	O
0	were	O
0	stolen	O
0	when	O
0	it	O
0	became	O
0	known	O
0	that	O
0	they	O
0	were	O
0	being	O
0	used	O
0	as	O
0	a	O
0	weapon	O
0	against	O
0	the	O
0	Germans	O
0	they	O
0	were	O
0	restored	O
0	some	B-DATE
0	nights	I-DATE
0	later	I-DATE
0	6	O
0	.	O
0	Death	O
0	of	O
0	a	O
0	young	O
0	Dutchman	O
0	who	O
0	refused	O
0	to	O
0	betray	O
0	his	O
0	comrades	O
0	of	O
0	the	O
0	Resistance	O
0	p.6	O
0	.	O
0	A	O
0	Dutchman	O
0	said	O
0	to	O
0	help	O
0	Jews	O
0	to	O
0	get	O
0	abroad	O
0	proved	O
0	to	O
0	be	O
0	an	O
0	agent	O
0	of	O
0	the	O
0	Gestapo	B-ORG
0	later	O
0	he	O
0	was	O
0	sentenced	O
0	for	O
0	life	O
0	p.6	O
0	.	O
0	Escape	O
0	in	O
0	summer	B-DATE
0	1944	I-DATE
0	p.9	O
0	.	O
0	9	O
0	.	O
0	References	O
0	Mass	O
0	suicide	O
0	p.1	O
0	.	O
0	The	B-GPE
0	Hague	I-GPE
0	p.4	O
0	.	O
0	Protestants	O
0	p.4	O
0	.	O
0	Catholics	O
0	p.7	O
0	.	O
0	Illegal	O
0	Life	O
0	in	O
0	Holland	B-GPE
0	I	O
0	moved	O
0	to	O
0	Holland	B-GPE
0	back	O
0	in	O
0	1928	B-DATE
0	having	O
0	applied	O
0	for	O
0	a	O
0	job	O
0	p.5	O
0	there	O
0	and	O
0	been	O
0	given	O
0	the	O
0	position	O
0	.	O
0	I	O
0	only	O
0	witnessed	O
0	the	O
0	events	O
0	leading	O
0	up	O
0	to	O
0	the	O
0	occupation	O
0	of	O
0	Holland	B-GPE
0	in	O
0	1940	B-DATE
0	from	O
0	the	O
0	outside	O
0	.	O
0	My	O
0	mother	O
0	and	O
0	stepfather	O
0	were	O
0	living	O
0	in	O
0	Germany	B-GPE
0	and	O
0	I	O
0	went	O
0	to	O
0	visit	O
0	them	O
0	often	O
0	.	O
0	However	O
0	I	O
0	had	O
0	any	O
0	first	O
0	hand	O
0	experience	O
0	of	O
0	National	O
0	Socialism	O
0	before	O
0	1940	B-DATE
0	.	O
0	I	O
0	lived	O
0	in	O
0	Amsterdam	B-GPE
0	and	O
0	worked	O
0	as	O
0	a	O
0	grain	O
0	merchant	O
0	having	O
0	completed	O
0	a	O
0	business	O
0	apprenticeship	O
0	before	O
0	moving	O
0	to	O
0	Holland	B-GPE
0	.	O
0	I	O
0	then	O
0	got	O
0	some	O
0	practical	O
0	experience	O
0	at	O
0	a	O
0	grain	O
0	mill	O
0	at	O
0	the	O
0	port	O
0	in	O
0	Rotterdam	B-GPE
0	where	O
0	I	O
0	came	O
0	into	O
0	contact	O
0	with	O
0	common	O
0	working	O
0	class	O
0	folk	O
0	.	O
0	This	O
0	was	O
0	how	O
0	I	O
0	learnt	O
